ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
a3afcd70-a135-11e9-9cda-0a87ae2ba916,Drake Ave & Addison St,KA1504000142,15,15,In Service,41.947326,-87.717582,POINT (-87.717582 41.947326)
1872722290312745226,Pulaski Rd & 84th St,23115,15,15,In Service,41.740407,-87.721907,POINT (-87.721907 41.740407)
a3b2810e-a135-11e9-9cda-0a87ae2ba916,Stony Island Ave & South Chicago Ave,577,11,11,In Service,41.751173,-87.585337,POINT (-87.585337 41.751173)
1594046435347878644,Lincoln Ave & Balmoral Ave,,9,9,In Service,41.979461,-87.693013,POINT (-87.693013 41.979461)
1936582699682930930,Mayfield Ave & Roosevelt Rd,21367,15,15,In Service,41.86569,-87.77176,POINT (-87.77176 41.86569)
a3afa4c3-a135-11e9-9cda-0a87ae2ba916,California Ave & Montrose Ave,15622,15,15,In Service,41.961068,-87.695439,POINT (-87.695439 41.961068)
a3a9607f-a135-11e9-9cda-0a87ae2ba916,Kedzie Ave & Milwaukee Ave,13085,31,31,In Service,41.928999,-87.70803,POINT (-87.70803 41.928999)
a3ac2671-a135-11e9-9cda-0a87ae2ba916,Halsted St & Wrightwood Ave,TA1309000061,15,15,In Service,41.929143,-87.649077,POINT (-87.649077 41.929143)
a3acef62-a135-11e9-9cda-0a87ae2ba916,Clark St & 9th St (AMLI),SL-009,15,15,In Service,41.870816,-87.631246,POINT (-87.631246 41.870816)
a3ad711d-a135-11e9-9cda-0a87ae2ba916,Ellis Ave & 55th St,KA1504000076,19,19,In Service,41.7943006205,-87.6014497734,POINT (-87.6014497734 41.79430062054)
a3b486f2-a135-11e9-9cda-0a87ae2ba916,Leavitt St & Division St,658,15,15,In Service,41.902997,-87.683825,POINT (-87.683825 41.902997)
a3a945c0-a135-11e9-9cda-0a87ae2ba916,Indiana Ave & Roosevelt Rd,SL-005,39,39,In Service,41.867888,-87.623041,POINT (-87.623041 41.867888)
a2aa2a53-3439-459b-9345-c21435e99a72,Elizabeth St & 92nd St,20119,15,15,In Service,41.7267989637,-87.6542901993,POINT (-87.65429019928 41.726798963701)
1594046422462976736,Rockwell St & Fletcher St,,9,9,In Service,41.938689,-87.692972,POINT (-87.692972 41.938689)
